,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Saint-Philippe,90,CA,1578004097,74,45.36,-73.48,39.2,9.17
1,Mataura,53,NZ,1578004097,64,-46.19,168.86,55.0,17.0
2,Suntar,100,RU,1578004097,97,62.16,117.65,-0.53,3.42
3,Saskylakh,5,RU,1578004098,91,71.97,114.09,-17.01,8.25
4,Dingle,100,PH,1578004098,94,11.0,122.67,73.13,9.53
5,Qaanaaq,9,GL,1578004098,65,77.48,-69.36,-39.23,5.97
6,Hobart,75,AU,1578004099,67,-42.88,147.33,62.6,6.93
7,Ushuaia,40,AR,1578004099,49,-54.81,-68.31,57.2,26.4
8,Yakima,90,US,1578003812,42,46.6,-120.51,46.99,3.36
9,San Patricio,77,PY,1578004099,49,-26.98,-56.83,87.08,9.26
10,Rikitea,100,PF,1578003860,75,-23.12,-134.97,79.25,7.31
11,Upernavik,100,GL,1578004100,59,72.79,-56.15,-0.89,16.51
12,Hammerfest,75,NO,1578004100,56,70.66,23.68,42.8,36.91
13,New Norfolk,75,AU,1578004100,67,-42.78,147.06,66.0,6.93
14,Nichinan,20,JP,1578004101,70,31.65,131.31,46.4,10.29
15,Dikson,100,RU,1578004101,91,73.51,80.55,-3.01,24.05
16,Werota,73,ET,1578004101,62,11.92,37.7,72.72,9.82
17,Beyneu,100,KZ,1578004101,97,45.32,55.19,33.42,6.98
18,Krasnorechenskiy,0,RU,1578004101,88,44.63,135.35,-2.24,6.11
19,Yumen,26,CN,1578004102,52,40.29,97.04,20.01,7.34
20,Cape Town,20,ZA,1578003818,82,-33.93,18.42,68.0,18.34
21,Port Elizabeth,1,US,1578004102,65,39.31,-74.98,51.01,3.36
22,Tiksi,0,RU,1578004103,65,71.64,128.87,-19.26,4.16
23,Thompson,90,CA,1578004103,84,55.74,-97.86,6.8,3.36
24,Bonavista,92,CA,1578003880,83,48.65,-53.11,29.8,16.64
25,Tuktoyaktuk,75,CA,1578004104,75,69.44,-133.03,-13.0,12.75
26,Faanui,100,PF,1578004104,77,-16.48,-151.75,81.12,13.31
27,Lagoa,75,PT,1578004105,82,37.14,-8.45,59.0,4.7
28,Anantapur,0,IN,1578004012,82,14.68,77.61,72.9,5.77
29,Hithadhoo,0,MV,1578004105,78,-0.6,73.08,82.96,13.38
30,Busselton,0,AU,1578004106,51,-33.64,115.35,57.99,15.43
31,Punta Arenas,40,CL,1578004106,25,-53.16,-70.91,62.6,19.46
32,Meulaboh,93,ID,1578004106,75,4.14,96.13,80.76,6.55
33,Pamanukan,51,ID,1578004106,83,-6.28,107.82,76.01,2.89
34,Wahiawa,90,US,1578004107,88,21.5,-158.02,80.6,10.29
35,Butaritari,100,KI,1578004107,71,3.07,172.79,83.53,5.77
36,Miragoane,0,HT,1578004107,68,18.44,-73.09,80.17,4.65
37,Amambai,12,BR,1578004108,59,-23.11,-55.23,84.52,6.02
38,Nukus,75,UZ,1578004108,86,42.46,59.61,37.4,4.7
39,Mnogovershinnyy,100,RU,1578004108,94,53.94,139.92,-6.72,9.71
40,Sakaiminato,75,JP,1578004108,66,35.55,133.23,48.2,11.41
41,Pangnirtung,90,CA,1578004109,77,66.15,-65.72,5.0,2.24
42,Portland,40,US,1578003830,55,43.66,-70.25,39.2,4.7
43,Carnarvon,0,ZA,1578004109,67,-30.97,22.13,67.3,23.91
44,Yellowknife,90,CA,1578004109,84,62.45,-114.38,6.8,9.17
45,Mehamn,75,NO,1578004110,86,71.03,27.85,30.2,20.8
46,Arraial do Cabo,75,BR,1578004059,88,-22.97,-42.02,77.0,10.29
